Sample	ID	PIT	Group	Pop	Selection	Photoperiod	Sex	Weight_end	Length_end	Trial	Repeat	Arena	Beh_batch	Out_time_min	Activity	Explorated
F119	47	LA000000900226000789901	Wild HV	Wild	HV	24	1	15.5	114	47_3	-1	1	1	0.027333333	0.207061435	1
F120	54	LA000000900226000790663	Wild HV	Wild	HV	24	-1	13.8	110	54_3	0	2	1	5.644333333	0.344767115	1
F76	6	LA000000900226000789228	Wild LV	Wild	LV	12:12	1	18.5	119	6_3	-1	1	5	2.393	0.919372355	1
F79	84	LA000000900226000790697	Wild HV	Wild	HV	12:12	-1	13.7	109	84_3	0	3	5	5.153	0.115436154	1
F80	14	LA000000900226000789939	Wild HV	Wild	HV	12:12	-1	13.4	107	14_3	-1	4	5	7.259166667	0.986482472	1
F89	31	LA000000900226000790102	Wild LV	Wild	LV	12:12	NA	17.5	116	31_3	-1	3	4	3.980666667	0.026982289	0
F113	29	LA000000900226000772345	Wild HV	Wild	HV	12:12	1	14.9	114	29_4	0	1	2	7.689333333	0.056860147	0
F61	80	LA000000900226000790131	Wild HV	Wild	HV	12:12	1	14.9	113	80_2	0	1	1	0.013666667	0.398196831	1
F65	76	LA000000900226000524063	Wild LV	Wild	LV	12:12	1	12.4	108	76_4	1	3	4	0.299666667	0.354008427	1
F78	60	LA000000900226000790653	Wild HV	Wild	HV	12:12	-1	18	118	60_2	0	4	2	0.036333333	0.151332092	1
F88	81	LA000000900226000789970	Wild LV	Wild	LV	12:12	1	16.9	117	81_2	0	4	4	5.087333333	0.430798234	1
F97	94	LA000000982000359701552	Wild LV	Wild	LV	12:12	-1	24	132	94_2	0	3	2	9.75	NA	0
F98	85	LA000000900226000789964	Wild LV	Wild	LV	12:12	-1	14.6	109	85_2	0	1	3	0.394333333	0.308921755	1
F99	30	LA000000900226000789955	Wild HV	Wild	HV	12:12	1	15.2	112	30_2	0	3	1	0.172666667	0.201187386	1
	90	LA000000900226000790624	Wild HV	Wild	HV	24	NA	NA	NA	90_4	1	3	5	9.75	NA	0
F114	95	LA000000900226000772316	Wild HV	Wild	HV	24	-1	8.8	92	95_4	1	2	3	0.0185	0.137286133	1
F119	47	LA000000900226000789901	Wild HV	Wild	HV	24	1	15.5	114	47_4	0	2	5	0.093833333	0.262579263	1
